Probability,temp_relative_chnge,M7_relative_chnge,Measure8
0.598,0.5609,0.2898,0.0949
0.603,0.5817,0.1436,0.1606
0.599,0.5634,0.2911,0.0954
0.602,0.5349,0.2919,0.3389
0.598,0.5624,0.2906,0.0952
0.69,0.5702,0.1772,0.9447
0.631,0.5042,0.1199,0.4337
0.601,0.5817,0.5817,0.5817
0.655,0.499,0.211,0.1223
0.693,0.5727,0.178,0.9489
0.627,0.5029,0.1196,0.4325
0.678,0.5791,0.2806,0.2019
0.597,0.5524,0.1481,0.3696
0.62,0.5501,0.1794,0.408
0.619,0.5496,0.1793,0.4077
0.664,0.6305,0.4106,0.5559
0.696,0.5779,0.1796,0.9575
0.649,0.559,0.1087,0.2004
0.67,0.5729,0.2776,0.1997
0.634,0.5065,0.1204,0.4356
0.652,0.5039,0.0566,0.0197
0.605,0.6161,0.1512,0.4253
0.634,0.506,0.1203,0.4352
0.629,0.5038,0.1198,0.4333
0.677,0.5786,0.2804,0.2017
0.608,0.5914,0.15,0.6863
0.672,0.5745,0.2784,0.2002
0.683,0.562,0.1747,0.9312
0.609,0.5919,0.1502,0.687
0.642,0.5515,0.1073,0.1977
0.641,0.5505,0.1071,0.1974
0.692,0.5717,0.1777,0.9472
0.694,0.5732,0.1782,0.9498
0.646,0.5545,0.1078,0.1988
0.653,0.5058,0.0568,0.0198
0.626,0.5015,0.1192,0.4313
0.695,0.5769,0.1793,0.9558
0.636,0.5471,0.1064,0.1961
0.691,0.5712,0.1775,0.9464
0.618,0.5592,0.1879,0.1552
0.696,0.5784,0.1798,0.9584
0.676,0.5771,0.2796,0.2011
0.688,0.5686,0.1767,0.9421
0.666,0.6339,0.4129,0.5589
0.614,0.5572,0.1872,0.1546
0.695,0.5758,0.179,0.9541
0.638,0.5491,0.1068,0.1969
0.695,0.5753,0.1788,0.9532
0.646,0.5535,0.1076,0.1985
0.701,0.5858,0.1821,0.9706
0.642,0.551,0.1072,0.1976
0.647,0.555,0.1079,0.199
0.657,0.6254,0.4073,0.5514
0.635,0.5074,0.1206,0.4364
0.706,0.4917,0.4141,0.2426
0.654,0.508,0.0571,0.0199
0.688,0.5676,0.1764,0.9404
0.621,0.5506,0.1796,0.4084
0.701,0.5863,0.1822,0.9714
0.704,0.4903,0.413,0.2419
0.695,0.5774,0.1794,0.9567
0.667,0.6344,0.4132,0.5594
0.71,0.5181,0.3248,0.1872
0.697,0.5795,0.1801,0.9601
0.649,0.558,0.1085,0.2001
0.622,0.5419,0.2032,0.0167
0.647,0.556,0.1081,0.1993
0.682,0.561,0.1743,0.9295
0.686,0.565,0.1756,0.9362
0.664,0.631,0.411,0.5564
0.687,0.5661,0.1759,0.9379
0.69,0.5696,0.177,0.9438
0.666,0.6333,0.4125,0.5584
0.631,0.5047,0.12,0.4341
0.646,0.5525,0.1074,0.1981
0.68,0.5807,0.2814,0.2024
0.683,0.563,0.175,0.9329
0.694,0.5748,0.1786,0.9524
0.653,0.5062,0.0569,0.0198
0.663,0.6293,0.4099,0.5549
0.664,0.6316,0.4114,0.5569
0.646,0.553,0.1075,0.1983
0.653,0.5048,0.0567,0.0197
0.641,0.55,0.107,0.1972
0.673,0.5755,0.2789,0.2006
0.699,0.5821,0.1809,0.9645
0.694,0.5738,0.1783,0.9507
0.702,0.5895,0.1832,0.9767
0.682,0.5605,0.1742,0.9287
0.722,0.5642,0.1758,0.3887
0.664,0.6322,0.4117,0.5574
0.655,0.5089,0.0572,0.0199
0.683,0.5635,0.1751,0.9337
0.638,0.5481,0.1066,0.1965
0.702,0.59,0.1834,0.9776
0.71,0.5186,0.3251,0.1874
0.701,0.5852,0.1819,0.9697
0.698,0.58,0.1803,0.961
0.678,0.5802,0.2811,0.2022
0.665,0.6327,0.4121,0.5579
0.701,0.5868,0.1824,0.9723
0.682,0.56,0.174,0.9278
0.649,0.56,0.1089,0.2008
0.714,0.5252,0.3292,0.1897
0.659,0.6265,0.4081,0.5524
0.672,0.5739,0.2781,0.2
0.703,0.5905,0.1835,0.9784
0.657,0.6248,0.407,0.5509
0.699,0.5837,0.1814,0.9671
0.675,0.5765,0.2794,0.201
0.672,0.5734,0.2779,0.1999
0.688,0.5666,0.1761,0.9388
0.668,0.6356,0.414,0.5604
0.736,0.6435,0.1392,0.7283
0.646,0.554,0.1077,0.1986
0.738,0.574,0.2404,0.3799
0.661,0.6271,0.4084,0.5529
0.659,0.6259,0.4077,0.5519
0.673,0.576,0.2791,0.2008
0.707,0.4921,0.4145,0.2428
0.727,0.5613,0.339,0.4451
0.74,0.5771,0.2417,0.382
0.723,0.5653,0.1761,0.3894
0.669,0.6045,0.2967,0.4881
0.697,0.579,0.1799,0.9593
0.719,0.5299,0.3322,0.1915
0.654,0.5067,0.0569,0.0198
0.741,0.5798,0.2427,0.3837
0.691,0.5707,0.1774,0.9455
0.736,0.6406,0.1385,0.7251
0.727,0.5618,0.3393,0.4455
0.685,0.5645,0.1755,0.9354
0.733,0.6371,0.1378,0.7212
0.701,0.5879,0.1827,0.9741
0.688,0.5671,0.1762,0.9396
0.709,0.5172,0.3242,0.1869
0.72,0.5304,0.3325,0.1916
0.748,0.576,0.2545,0.3359
0.709,0.5167,0.3239,0.1867
0.692,0.5722,0.1778,0.9481
0.702,0.5889,0.183,0.9758
0.699,0.5816,0.1807,0.9636
0.716,0.528,0.331,0.1908
0.727,0.5608,0.3387,0.4447
0.661,0.6276,0.4088,0.5534
0.685,0.564,0.1753,0.9345
0.736,0.6423,0.1389,0.727
0.743,0.5813,0.2434,0.3847
0.716,0.5285,0.3313,0.1909
0.7,0.5842,0.1816,0.9679
0.726,0.5678,0.1769,0.3912
0.731,0.5644,0.3408,0.4475
0.7,0.5847,0.1817,0.9688
0.676,0.5776,0.2799,0.2013
0.694,0.5743,0.1785,0.9515
0.678,0.5797,0.2809,0.202
0.699,0.5831,0.1812,0.9662
0.732,0.5654,0.3414,0.4483
0.749,0.5781,0.2554,0.3371
0.718,0.5294,0.3319,0.1913
0.756,0.6171,0.2138,0.0528
0.668,0.6367,0.4147,0.5614
0.673,0.575,0.2786,0.2004
0.729,0.5638,0.3405,0.4471
0.736,0.6412,0.1387,0.7257
0.711,0.5195,0.3257,0.1877
0.728,0.5633,0.3402,0.4467
0.67,0.5724,0.2774,0.1995
0.762,0.6232,0.2159,0.0533
0.738,0.5746,0.2406,0.3803
0.751,0.5791,0.2559,0.3377
0.766,0.5641,0.1247,0.941
0.768,0.5666,0.1252,0.9452
0.68,0.5812,0.2816,0.2026
0.748,0.5765,0.2547,0.3362
0.715,0.5261,0.3298,0.1901
0.736,0.6429,0.139,0.7277
0.689,0.5691,0.1769,0.943
0.721,0.5309,0.3328,0.1918
0.698,0.5805,0.1804,0.9619
0.715,0.5271,0.3304,0.1904
0.71,0.5177,0.3245,0.187
0.764,0.5686,0.2063,0.5604
0.702,0.5884,0.1829,0.9749
0.707,0.4926,0.4149,0.243
0.712,0.5205,0.3263,0.188
0.751,0.5802,0.2563,0.3383
0.695,0.5764,0.1791,0.9549
0.714,0.5242,0.3286,0.1894
0.701,0.5874,0.1825,0.9732
0.715,0.5266,0.3301,0.1903
0.772,0.5718,0.1264,0.9538
0.714,0.5256,0.3295,0.1899
0.727,0.5603,0.3383,0.4443
0.714,0.5233,0.328,0.1891
0.736,0.644,0.1393,0.729
0.744,0.5824,0.2438,0.3854
0.699,0.5826,0.1811,0.9653
0.704,0.4912,0.4137,0.2423
0.714,0.5228,0.3277,0.1889
0.733,0.6377,0.1379,0.7218
0.704,0.4899,0.4126,0.2417
0.752,0.5812,0.2568,0.3389
0.774,0.5733,0.1267,0.9564
0.754,0.6143,0.2128,0.0525
0.71,0.5191,0.3254,0.1875
0.712,0.5209,0.3266,0.1882
0.688,0.5681,0.1766,0.9413
0.731,0.5649,0.3411,0.4479
0.745,0.5829,0.2441,0.3858
0.78,0.5017,0.3752,0.3928
0.721,0.5692,0.2058,0.3761
0.784,0.6134,0.0517,0.0812
0.716,0.529,0.3316,0.1911
0.698,0.581,0.1806,0.9627
0.761,0.6227,0.2157,0.0532
0.726,0.5673,0.1768,0.3908
0.757,0.6182,0.2142,0.0529
0.714,0.5238,0.3283,0.1892
0.746,0.5739,0.2536,0.3347
0.765,0.5631,0.1244,0.9393
0.766,0.5636,0.1246,0.9401
0.712,0.5214,0.3269,0.1884
0.722,0.5648,0.176,0.3891
0.755,0.6154,0.2132,0.0526
0.74,0.5777,0.2419,0.3823
0.734,0.64,0.1384,0.7244
0.747,0.5745,0.2538,0.335
0.736,0.6417,0.1388,0.7264
0.774,0.5728,0.1266,0.9555
0.725,0.5668,0.1766,0.3905
0.776,0.4972,0.3719,0.3893
0.704,0.4908,0.4134,0.2421
0.799,0.6321,0.2083,0.2135
0.759,0.621,0.2152,0.0531
0.713,0.5219,0.3271,0.1886
0.741,0.5792,0.2425,0.3834
0.734,0.6388,0.1382,0.7231
0.795,0.5923,0.2263,0.0059
0.77,0.5697,0.1259,0.9503
0.724,0.5663,0.1764,0.3901
0.74,0.5766,0.2414,0.3816
0.788,0.5527,0.4498,0.7101
0.74,0.5787,0.2423,0.383
0.714,0.5247,0.3289,0.1896
0.713,0.5223,0.3274,0.1887
0.749,0.5786,0.2556,0.3374
0.712,0.52,0.326,0.1879
0.74,0.5782,0.2421,0.3827
0.737,0.5735,0.2401,0.3796
0.755,0.616,0.2134,0.0527
0.728,0.5623,0.3396,0.4459
0.79,0.531,0.1147,0.5485
0.723,0.5658,0.1763,0.3898
0.769,0.5692,0.1258,0.9495
0.783,0.6123,0.0516,0.0811
0.763,0.5675,0.206,0.5594
0.715,0.5275,0.3307,0.1906
0.809,0.6436,0.2121,0.2174
0.789,0.5305,0.1146,0.548
0.784,0.6145,0.0518,0.0814
0.793,0.5896,0.2252,0.0059
0.758,0.6204,0.215,0.0531
0.778,0.4977,0.3722,0.3896
0.747,0.575,0.254,0.3353
0.749,0.5771,0.2549,0.3365
0.803,0.6372,0.21,0.2152
0.721,0.5467,0.177,0.6934
0.815,0.603,0.2783,0.0965
0.764,0.5691,0.2065,0.5609
0.78,0.5013,0.3749,0.3924
0.758,0.6199,0.2148,0.053
0.782,0.6118,0.0516,0.081
0.739,0.5756,0.241,0.3809
0.816,0.6052,0.2793,0.0968
0.742,0.5803,0.243,0.384
0.754,0.6149,0.213,0.0526
0.749,0.5776,0.2552,0.3368
0.755,0.6165,0.2136,0.0527
0.766,0.5651,0.1249,0.9427
0.728,0.5628,0.3399,0.4463
0.821,0.6123,0.2826,0.098
0.813,0.6008,0.2773,0.0961
0.811,0.6453,0.2127,0.218
0.769,0.5687,0.1257,0.9486
0.761,0.6216,0.2154,0.0531
0.816,0.6046,0.279,0.0968
0.748,0.5755,0.2543,0.3356
0.738,0.5751,0.2408,0.3806
0.772,0.5707,0.1261,0.9521
0.764,0.5681,0.2061,0.5599
0.77,0.5702,0.126,0.9512
0.797,0.5483,0.1523,0.5932
0.779,0.4999,0.3739,0.3914
0.786,0.5512,0.4486,0.7082
0.786,0.5502,0.4478,0.7069
0.754,0.6138,0.2127,0.0525
0.826,0.6471,0.1806,0.6533
0.746,0.5734,0.2533,0.3344
0.752,0.5807,0.2566,0.3386
0.778,0.4981,0.3726,0.39
0.743,0.5818,0.2436,0.3851
0.734,0.6383,0.1381,0.7225
0.734,0.6394,0.1383,0.7238
0.814,0.6014,0.2775,0.0962
0.757,0.6193,0.2146,0.053
0.817,0.6068,0.28,0.0971
0.807,0.6407,0.2112,0.2164
0.769,0.5682,0.1256,0.9478
0.791,0.5315,0.1148,0.549
0.807,0.6412,0.2114,0.2166
0.739,0.5761,0.2412,0.3813
0.799,0.6315,0.2082,0.2133
0.813,0.6003,0.277,0.0961
0.802,0.6349,0.2093,0.2145
0.793,0.5902,0.2254,0.0059
0.761,0.6221,0.2155,0.0532
0.799,0.6332,0.2087,0.2139
0.829,0.6512,0.1818,0.6574
0.764,0.5696,0.2067,0.5614
0.83,0.6524,0.1821,0.6586
0.762,0.6238,0.2161,0.0533
0.811,0.6465,0.2131,0.2184
0.767,0.5656,0.125,0.9435
0.743,0.5808,0.2432,0.3844
0.751,0.5797,0.2561,0.338
0.787,0.5522,0.4494,0.7095
0.773,0.5723,0.1265,0.9546
0.83,0.6529,0.1823,0.6592
0.78,0.5008,0.3746,0.3921
0.808,0.6418,0.2116,0.2168
0.837,0.7748,0.1204,0.6272
0.832,0.6559,0.1831,0.6622
0.786,0.5497,0.4474,0.7063
0.831,0.6553,0.1829,0.6616
0.827,0.6488,0.1811,0.6551
0.809,0.6441,0.2123,0.2176
0.801,0.6344,0.2091,0.2143
0.806,0.6401,0.211,0.2162
0.768,0.5671,0.1253,0.9461
0.763,0.567,0.2058,0.5589
0.804,0.6378,0.2102,0.2154
0.768,0.5676,0.1255,0.9469
0.834,0.6583,0.1838,0.6646
0.779,0.4995,0.3736,0.391
0.757,0.6188,0.2144,0.0529
0.767,0.5661,0.1251,0.9444
0.756,0.6176,0.214,0.0528
0.834,0.6577,0.1836,0.664
0.779,0.5004,0.3742,0.3917
0.841,0.7783,0.121,0.6301
0.817,0.6057,0.2795,0.0969
0.808,0.643,0.2119,0.2172
0.819,0.6084,0.2808,0.0974
0.851,0.7896,0.1227,0.6392
0.803,0.6366,0.2098,0.215
0.795,0.5918,0.2261,0.0059
0.779,0.499,0.3732,0.3907
0.827,0.6494,0.1813,0.6557
0.778,0.4986,0.3729,0.3903
0.846,0.784,0.1219,0.6346
0.766,0.5646,0.1248,0.9418
0.789,0.53,0.1145,0.5475
0.837,0.7734,0.1202,0.6261
0.848,0.7882,0.1225,0.638
0.792,0.6816,0.3116,0.556
0.815,0.6035,0.2785,0.0966
0.763,0.5665,0.2056,0.5584
0.835,0.6606,0.1844,0.667
0.856,0.6448,0.2404,0.9153
0.822,0.6139,0.2833,0.0982
0.821,0.6101,0.2816,0.0976
0.786,0.5517,0.449,0.7089
0.781,0.537,0.2471,0.0733
0.829,0.6506,0.1816,0.6568
0.784,0.614,0.0518,0.0813
0.828,0.65,0.1815,0.6562
0.82,0.6095,0.2813,0.0975
0.861,0.6553,0.2443,0.9302
0.802,0.6361,0.2097,0.2148
0.772,0.5712,0.1263,0.9529
0.806,0.6395,0.2108,0.216
0.846,0.7847,0.122,0.6352
0.798,0.6422,0.2013,0.16
0.855,0.6442,0.2402,0.9145
0.786,0.5507,0.4482,0.7076
0.799,0.6326,0.2085,0.2137
0.835,0.6594,0.1841,0.6658
0.852,0.7903,0.1229,0.6398
0.861,0.6559,0.2445,0.9311
0.821,0.6117,0.2823,0.0979
0.817,0.6063,0.2798,0.097
0.802,0.6355,0.2095,0.2147
0.812,0.647,0.2133,0.2186
0.808,0.6424,0.2117,0.217
0.855,0.6436,0.24,0.9136
0.816,0.6041,0.2788,0.0967
0.783,0.6129,0.0517,0.0811
0.806,0.6389,0.2106,0.2158
0.875,0.7155,0.1343,0.5326
0.871,0.711,0.1335,0.5293
0.838,0.7769,0.1208,0.6289
0.824,0.6125,0.1985,0.0194
0.858,0.6494,0.2421,0.9219
0.859,0.6512,0.2428,0.9244
0.866,0.6149,0.1433,0.2851
0.823,0.6145,0.2836,0.0983
0.831,0.6541,0.1826,0.6604
0.86,0.6536,0.2437,0.9277
0.848,0.7868,0.1223,0.6369
0.81,0.6447,0.2125,0.2178
0.797,0.5488,0.1525,0.5938
0.823,0.615,0.2839,0.0984
0.821,0.6112,0.2821,0.0978
0.844,0.7811,0.1214,0.6323
0.837,0.7755,0.1206,0.6278
0.87,0.7085,0.133,0.5274
0.862,0.6595,0.2459,0.9361
0.83,0.6535,0.1824,0.6598
0.805,0.6384,0.2104,0.2156
0.863,0.6586,0.1348,0.1309
0.86,0.6541,0.2439,0.9286
0.859,0.6506,0.2426,0.9236
0.795,0.5928,0.2265,0.0059
0.834,0.6589,0.1839,0.6652
0.87,0.7091,0.1331,0.5279
0.794,0.5907,0.2256,0.0059
0.883,0.7246,0.136,0.5394
0.852,0.791,0.123,0.6403
0.812,0.6476,0.2135,0.2188
0.794,0.5912,0.2258,0.0059
0.814,0.6019,0.2778,0.0963
0.845,0.7832,0.1218,0.634
0.818,0.6073,0.2803,0.0972
0.866,0.6154,0.1434,0.2853
0.831,0.6547,0.1828,0.661
0.8,0.6338,0.2089,0.2141
0.861,0.6571,0.245,0.9328
0.854,0.7953,0.1236,0.6438
0.825,0.6454,0.1802,0.6515
0.836,0.6612,0.1846,0.6676
0.859,0.65,0.2423,0.9227
0.888,0.7039,0.2997,0.5278
0.851,0.7889,0.1226,0.6386
0.826,0.6477,0.1808,0.6539
0.841,0.779,0.1211,0.6306
0.879,0.7201,0.1352,0.536
0.811,0.6459,0.2129,0.2182
0.848,0.7875,0.1224,0.6375
0.879,0.7207,0.1353,0.5365
0.881,0.7227,0.1357,0.5379
0.9,0.6442,0.1532,0.0089
0.854,0.7946,0.1235,0.6432
0.822,0.6134,0.2831,0.0982
0.887,0.702,0.2989,0.5264
0.862,0.6577,0.2452,0.9336
0.82,0.609,0.2811,0.0975
0.894,0.7366,0.1647,0.5307
0.853,0.7939,0.1234,0.6427
0.823,0.6162,0.2844,0.0986
0.871,0.7098,0.1332,0.5283
0.819,0.6079,0.2805,0.0973
0.898,0.6327,0.1504,0.0088
0.867,0.6165,0.1437,0.2858
0.886,0.7001,0.2981,0.525
0.883,0.7253,0.1362,0.5399
0.852,0.7918,0.1231,0.6409
0.848,0.7861,0.1222,0.6363
0.898,0.6346,0.1509,0.0088
0.892,0.7121,0.3031,0.5339
0.838,0.7762,0.1207,0.6284
0.814,0.6024,0.278,0.0964
0.902,0.6461,0.1536,0.0089
0.841,0.7776,0.1209,0.6295
0.825,0.6465,0.1805,0.6527
0.878,0.7188,0.1349,0.535
0.859,0.6524,0.2432,0.9261
0.829,0.6518,0.1819,0.658
0.872,0.7123,0.1337,0.5302
0.822,0.6128,0.2828,0.0981
0.871,0.7104,0.1334,0.5288
0.907,0.5731,0.2207,0.2447
0.893,0.7337,0.164,0.5286
0.847,0.7854,0.1221,0.6358
0.823,0.6156,0.2841,0.0985
0.821,0.6106,0.2818,0.0977
0.916,0.7243,0.0574,0.106
0.915,0.72,0.057,0.1054
0.853,0.7932,0.1233,0.6421
0.833,0.6571,0.1834,0.6634
0.842,0.7797,0.1212,0.6312
0.837,0.7741,0.1203,0.6267
0.869,0.6171,0.1438,0.2861
0.874,0.713,0.1338,0.5307
0.825,0.6459,0.1803,0.6521
0.835,0.66,0.1843,0.6664
0.862,0.6601,0.2461,0.937
0.909,0.5783,0.2227,0.2469
0.877,0.7162,0.1344,0.5331
0.916,0.7221,0.0572,0.1057
0.877,0.7175,0.1347,0.5341
0.826,0.6483,0.181,0.6545
0.845,0.7818,0.1215,0.6329
0.88,0.7214,0.1354,0.537
0.905,0.5662,0.2181,0.2418
0.886,0.7014,0.2986,0.5259
0.861,0.6565,0.2448,0.9319
0.844,0.7804,0.1213,0.6318
0.921,0.7375,0.0584,0.108
0.856,0.6454,0.2406,0.9161
0.892,0.7107,0.3025,0.5329
0.884,0.6976,0.297,0.5231
0.833,0.6565,0.1833,0.6628
0.898,0.6365,0.1513,0.0088
0.872,0.7117,0.1336,0.5298
0.845,0.7825,0.1216,0.6335
0.889,0.7052,0.3002,0.5288
0.853,0.7925,0.1232,0.6415
0.896,0.6289,0.1495,0.0087
0.924,0.7441,0.059,0.1089
0.856,0.6459,0.2408,0.9169
0.862,0.6589,0.2456,0.9353
0.881,0.7233,0.1358,0.5384
0.856,0.6465,0.241,0.9178
0.874,0.7149,0.1342,0.5321
0.889,0.7065,0.3008,0.5297
0.859,0.6518,0.243,0.9252
0.889,0.7058,0.3005,0.5293
0.92,0.7353,0.0583,0.1076
0.885,0.6995,0.2978,0.5245
0.86,0.653,0.2434,0.9269
0.86,0.6547,0.2441,0.9294
0.917,0.7309,0.0579,0.107
0.88,0.722,0.1355,0.5374
0.857,0.6483,0.2417,0.9202
0.881,0.724,0.1359,0.5389
0.891,0.7085,0.3016,0.5313
0.903,0.6559,0.156,0.0091
0.94,0.654,0.1597,0.0891
0.866,0.616,0.1435,0.2856
0.929,0.6246,0.1525,0.0851
0.911,0.5835,0.2247,0.2491
0.864,0.6143,0.1431,0.2848
0.879,0.7194,0.1351,0.5355
0.863,0.6879,0.1585,0.1821
0.854,0.796,0.1237,0.6444
0.939,0.6475,0.1581,0.0882
0.906,0.5714,0.2201,0.244
0.857,0.6471,0.2413,0.9186
0.87,0.7078,0.1329,0.5269
0.929,0.6233,0.1522,0.0849
0.902,0.65,0.1546,0.009
0.941,0.6553,0.16,0.0893
0.923,0.7419,0.0588,0.1086
0.909,0.5765,0.2221,0.2462
0.902,0.652,0.155,0.009
0.857,0.6477,0.2415,0.9194
0.889,0.7046,0.2999,0.5283
0.906,0.5696,0.2194,0.2432
0.933,0.6372,0.1556,0.0868
0.891,0.7092,0.3019,0.5318
0.858,0.6489,0.2419,0.9211
0.94,0.6527,0.1594,0.0889
0.905,0.6598,0.1569,0.0091
0.93,0.6309,0.154,0.0859
0.888,0.7033,0.2994,0.5274
0.874,0.7143,0.1341,0.5317
0.929,0.6258,0.1528,0.0852
0.911,0.5853,0.2254,0.2499
0.862,0.6583,0.2454,0.9344
0.894,0.7351,0.1643,0.5297
0.92,0.7331,0.0581,0.1073
0.887,0.7027,0.2991,0.5269
0.93,0.6283,0.1534,0.0856
0.938,0.6449,0.1575,0.0878
0.94,0.6514,0.159,0.0887
0.91,0.58,0.2234,0.2477
0.877,0.7168,0.1346,0.5336
0.904,0.6579,0.1564,0.0091
0.899,0.6403,0.1523,0.0089
0.892,0.591,0.2682,0.0641
0.938,0.6436,0.1571,0.0877
0.903,0.6539,0.1555,0.0091
0.932,0.6347,0.1549,0.0864
0.885,0.6989,0.2975,0.524
0.941,0.658,0.1606,0.0896
0.912,0.5888,0.2268,0.2514
0.931,0.6321,0.1543,0.0861
0.894,0.7359,0.1645,0.5302
0.93,0.6296,0.1537,0.0858
0.953,0.6995,0.3232,0.3633
0.902,0.6481,0.1541,0.009
0.939,0.6462,0.1578,0.088
0.958,0.7485,0.1766,0.7984
0.924,0.7486,0.0593,0.1096
0.892,0.7099,0.3022,0.5323
0.94,0.6501,0.1587,0.0885
0.874,0.7136,0.134,0.5312
0.878,0.7181,0.1348,0.5345
0.905,0.5679,0.2188,0.2425
0.936,0.6411,0.1565,0.0873
0.891,0.7078,0.3013,0.5307
0.953,0.7066,0.3265,0.367
0.948,0.6856,0.3168,0.3561
0.899,0.6422,0.1527,0.0089
0.917,0.7265,0.0576,0.1063
0.893,0.7344,0.1642,0.5291
0.974,0.7892,0.2198,0.4801
0.913,0.5906,0.2275,0.2522
0.942,0.6593,0.161,0.0898
0.957,0.7262,0.1714,0.7747
0.974,0.7971,0.222,0.4849
0.886,0.7008,0.2983,0.5255
0.908,0.5748,0.2214,0.2454
0.91,0.5818,0.2241,0.2484
0.936,0.6398,0.1562,0.0871
0.969,0.7657,0.2133,0.4658
0.924,0.7464,0.0591,0.1093
0.939,0.6488,0.1584,0.0884
0.943,0.6606,0.1613,0.09
0.915,0.7178,0.0569,0.1051
0.974,0.7813,0.2176,0.4753
0.884,0.6983,0.2973,0.5236
0.96,0.7637,0.1802,0.8147
0.937,0.6423,0.1568,0.0875
0.89,0.7071,0.301,0.5302
0.957,0.7336,0.1731,0.7826
0.958,0.756,0.1784,0.8065
0.957,0.741,0.1749,0.7905
0.931,0.6334,0.1546,0.0863
0.912,0.587,0.2261,0.2506
0.953,0.7137,0.3298,0.3707
0.973,0.7735,0.2154,0.4705
0.985,0.8637,0.2316,0.681
0.905,0.6618,0.1574,0.0092
0.936,0.6385,0.1559,0.087
0.941,0.6566,0.1603,0.0894
0.923,0.7397,0.0586,0.1083
0.897,0.6308,0.15,0.0087
0.965,0.7581,0.2111,0.4611
0.892,0.7114,0.3028,0.5334
0.986,0.951,0.2333,0.771
0.986,0.865,0.1369,0.3217
0.95,0.6925,0.32,0.3597
0.987,0.951,0.2333,0.771
0.933,0.6359,0.1553,0.0866
0.93,0.6271,0.1531,0.0854
0.899,0.6384,0.1518,0.0088
0.917,0.7287,0.0577,0.1067
0.945,0.6719,0.3105,0.349
0.947,0.6787,0.3136,0.3525
0.924,0.7509,0.0595,0.1099
0.995,0.865,0.1369,0.3217
0.965,0.7963,0.0876,0.3481
0.956,0.719,0.1697,0.767
