ID,Probability,voltmean_24hrs,rotatemean_24hrs,vibrationmean_24hrs,,,
147,0.423,-0.4993,-0.0015,-0.3889,,,
148,0.378,0.0057,0.153,-0.6507,,,
149,0.38,-0.8703,-1.3132,-0.4354,,,
150,0.426,-0.8677,-1.3092,-0.4341,,,
151,0.43,-0.8651,-1.3053,-0.4328,,,
152,0.404,-0.8625,-1.3014,-0.4315,,,
153,0.442,-0.8599,-1.2975,-0.4302,,,
154,0.393,-0.8574,-1.2936,-0.4289,,,
155,0.397,-0.8548,-1.2897,-0.4276,,,
156,0.392,-0.8522,-1.2858,-0.4263,,,
157,0.436,-0.8497,-1.282,-0.4251,,,
158,0.427,-1.0887,-1.5149,-0.7381,,,
159,0.434,-1.0887,-1.5149,-0.7381,,,
160,0.373,-1.0854,-1.5104,-0.7358,,,
161,0.46,-1.0822,-1.5059,-0.7336,,,
162,0.405,-1.0789,-1.5014,-0.7314,,,
163,0.374,-1.0757,-1.4968,-0.7292,,,
164,0.46,-1.0725,-1.4924,-0.7271,,,
165,0.408,-1.0692,-1.4879,-0.7249,,,
166,0.406,-1.066,-1.4834,-0.7227,,,
167,0.454,-1.0628,-1.479,-0.7205,,,
168,0.447,-1.0596,-1.4745,-0.7184,,,
169,0.374,-1.0565,-1.4701,-0.7162,,,
170,0.432,-1.0533,-1.4657,-0.7141,,,
171,0.43,-1.0501,-1.4613,-0.7119,,,
172,0.38,-1.047,-1.4569,-0.7098,,,
173,0.439,-1.0438,-1.4525,-0.7077,,,
174,0.426,-1.0407,-1.4482,-0.7055,,,
175,0.456,-1.0376,-1.4438,-0.7034,,,
176,0.472,-1.0345,-1.4395,-0.7013,,,
177,0.391,-1.0314,-1.4352,-0.6992,,,
178,0.44,-1.0283,-1.4309,-0.6971,,,
179,0.438,-1.0252,-1.4266,-0.695,,,
180,0.403,-1.0221,-1.4223,-0.6929,,,
181,0.447,-1.0191,-1.418,-0.6909,,,
182,0.396,-1.016,-1.4138,-0.6888,,,
183,0.447,-1.0129,-1.4096,-0.6867,,,
184,0.446,-1.0099,-1.4053,-0.6847,,,
185,0.402,-1.0069,-1.4011,-0.6826,,,
186,0.46,-1.0039,-1.3969,-0.6806,,,
187,0.391,-1.0008,-1.3927,-0.6785,,,
188,0.416,-0.9978,-1.3885,-0.6765,,,
189,0.393,-0.9949,-1.3844,-0.6744,,,
190,0.445,-0.9919,-1.3802,-0.6724,,,
191,0.454,-0.9889,-1.3761,-0.6704,,,
192,0.409,-0.9859,-1.3719,-0.6684,,,
193,0.391,-0.983,-1.3678,-0.6664,,,
194,0.433,-0.98,-1.3637,-0.6644,,,
195,0.399,-0.9771,-1.3596,-0.6624,,,
196,0.468,-0.9741,-1.3556,-0.6604,,,
197,0.397,-0.9712,-1.3515,-0.6584,,,
198,0.402,-0.9683,-1.3474,-0.6565,,,
199,0.435,-0.9654,-1.3434,-0.6545,,,
200,0.419,-0.9625,-1.3394,-0.6525,,,
201,0.398,-0.9596,-1.3353,-0.6506,,,
202,0.469,-0.9567,-1.3313,-0.6486,,,
203,0.395,-0.9539,-1.3273,-0.6467,,,
204,0.474,-0.951,-1.3234,-0.6447,,,
205,0.485,-0.9482,-1.3194,-0.6428,,,
206,0.476,-0.9453,-1.3154,-0.6409,,,
207,0.43,-0.9425,-1.3115,-0.6389,,,
208,0.42,-0.9397,-1.3076,-0.637,,,
209,0.41,-0.9368,-1.3036,-0.6351,,,
210,0.474,-0.934,-1.2997,-0.6332,,,
211,0.429,-0.9312,-1.2958,-0.6313,,,
212,0.483,-0.9284,-1.2919,-0.6294,,,
213,0.454,-0.9256,-1.2881,-0.6275,,,
214,0.451,-0.9229,-1.2842,-0.6256,,,
215,0.412,-0.9201,-1.2803,-0.6238,,,
216,0.446,-0.9173,-1.2765,-0.6219,,,
217,0.428,0.2199,-0.7837,-0.1177,,,
218,0.413,0.2199,-0.7837,-0.1177,,,
219,0.46,0.2192,-0.7814,-0.1174,,,
220,0.456,0.2185,-0.779,-0.117,,,
221,0.402,0.2179,-0.7767,-0.1167,,,
222,0.484,0.2172,-0.7744,-0.1163,,,
223,0.457,0.2166,-0.7721,-0.116,,,
224,0.468,0.2159,-0.7697,-0.1156,,,
225,0.484,0.2153,-0.7674,-0.1153,,,
226,0.403,0.2146,-0.7651,-0.1149,,,
227,0.502,0.214,-0.7628,-0.1146,,,
228,0.414,0.2134,-0.7605,-0.1142,,,
229,0.462,0.2127,-0.7583,-0.1139,,,
230,0.434,0.2121,-0.756,-0.1135,,,
231,0.479,0.2114,-0.7537,-0.1132,,,
232,0.45,0.2108,-0.7515,-0.1129,,,
233,0.41,0.2102,-0.7492,-0.1125,,,
234,0.427,0.2095,-0.747,-0.1122,,,
235,0.452,0.2089,-0.7447,-0.1119,,,
236,0.464,0.2083,-0.7425,-0.1115,,,
237,0.459,0.2077,-0.7403,-0.1112,,,
238,0.425,0.207,-0.738,-0.1108,,,
239,0.502,0.2064,-0.7358,-0.1105,,,
240,0.424,0.2058,-0.7336,-0.1102,,,
241,0.44,0.2052,-0.7314,-0.1099,,,
242,0.503,0.2046,-0.7292,-0.1095,,,
243,0.418,0.204,-0.727,-0.1092,,,
244,0.421,0.2033,-0.7248,-0.1089,,,
245,0.487,0.2027,-0.7227,-0.1085,,,
246,0.466,0.2021,-0.7205,-0.1082,,,
247,0.513,0.2015,-0.7183,-0.1079,,,
248,0.47,0.2009,-0.7162,-0.1076,,,
249,0.479,0.2003,-0.714,-0.1072,,,
250,0.477,0.1997,-0.7119,-0.1069,,,
251,0.445,0.1991,-0.7098,-0.1066,,,
252,0.435,0.1985,-0.7076,-0.1063,,,
253,0.492,0.1979,-0.7055,-0.106,,,
254,0.47,0.1973,-0.7034,-0.1056,,,
255,0.423,0.1967,-0.7013,-0.1053,,,
256,0.429,0.1961,-0.6992,-0.105,,,
257,0.424,0.1956,-0.6971,-0.1047,,,
258,0.459,0.195,-0.695,-0.1044,,,
259,0.481,0.1944,-0.6929,-0.1041,,,
260,0.474,0.1938,-0.6908,-0.1038,,,
261,0.447,0.1932,-0.6888,-0.1034,,,
262,0.501,0.1926,-0.6867,-0.1031,,,
263,0.509,0.1921,-0.6846,-0.1028,,,
264,0.511,0.1915,-0.6826,-0.1025,,,
265,0.517,0.1909,-0.6805,-0.1022,,,
266,0.472,0.1903,-0.6785,-0.1019,,,
267,0.426,0.1898,-0.6764,-0.1016,,,
268,0.428,0.1892,-0.6744,-0.1013,,,
269,0.477,0.1886,-0.6724,-0.101,,,
270,0.452,0.1881,-0.6704,-0.1007,,,
271,0.429,0.1875,-0.6684,-0.1004,,,
272,0.514,0.1869,-0.6664,-0.1001,,,
273,0.482,0.1864,-0.6644,-0.0998,,,
274,0.507,0.1858,-0.6624,-0.0995,,,
275,0.479,0.1853,-0.6604,-0.0992,,,
276,0.485,0.1847,-0.6584,-0.0989,,,
277,0.457,0.1841,-0.6564,-0.0986,,,
278,0.526,0.1836,-0.6545,-0.0983,,,
279,0.453,0.183,-0.6525,-0.098,,,
280,0.505,-0.3866,-1.1421,-0.3006,,,
281,0.477,-0.3854,-1.1387,-0.2997,,,
282,0.475,-0.3843,-1.1353,-0.2988,,,
283,0.472,-0.3831,-1.1319,-0.2979,,,
284,0.444,-0.9851,-1.271,-0.2049,,,
285,0.529,-0.9851,-1.271,-0.2049,,,
286,0.449,-0.9822,-1.2672,-0.2043,,,
287,0.519,-0.9792,-1.2634,-0.2037,,,
288,0.456,-0.9763,-1.2596,-0.203,,,
289,0.532,-0.9734,-1.2558,-0.2024,,,
290,0.477,-0.9704,-1.252,-0.2018,,,
291,0.488,-0.9675,-1.2483,-0.2012,,,
292,0.481,-0.9646,-1.2445,-0.2006,,,
293,0.474,-0.9617,-1.2408,-0.2,,,
294,0.502,-0.9589,-1.2371,-0.1994,,,
295,0.525,-0.956,-1.2334,-0.1988,,,
296,0.517,-0.9531,-1.2297,-0.1982,,,
297,0.453,-0.9503,-1.226,-0.1976,,,
298,0.504,-0.9474,-1.2223,-0.197,,,
299,0.471,-0.9446,-1.2186,-0.1964,,,
300,0.516,-0.9417,-1.215,-0.1959,,,
301,0.449,-0.9389,-1.2113,-0.1953,,,
302,0.512,-0.9361,-1.2077,-0.1947,,,
303,0.463,-0.9333,-1.2041,-0.1941,,,
304,0.492,-0.9305,-1.2005,-0.1935,,,
305,0.513,-0.9277,-1.1968,-0.1929,,,
306,0.522,-0.9249,-1.1933,-0.1924,,,
307,0.518,-0.9221,-1.1897,-0.1918,,,
308,0.46,-0.9194,-1.1861,-0.1912,,,
309,0.488,-0.9166,-1.1826,-0.1906,,,
310,0.541,-0.9139,-1.179,-0.1901,,,
311,0.511,-0.9111,-1.1755,-0.1895,,,
312,0.515,-0.9084,-1.1719,-0.1889,,,
313,0.54,-0.9057,-1.1684,-0.1884,,,
314,0.506,-0.9029,-1.1649,-0.1878,,,
315,0.47,-0.9002,-1.1614,-0.1872,,,
316,0.546,-0.8975,-1.1579,-0.1867,,,
317,0.551,-0.8948,-1.1545,-0.1861,,,
318,0.489,-0.8921,-1.151,-0.1855,,,
319,0.501,-0.8895,-1.1476,-0.185,,,
320,0.466,-0.8868,-1.1441,-0.1844,,,
321,0.499,-0.8841,-1.1407,-0.1839,,,
322,0.507,-0.8815,-1.1373,-0.1833,,,
323,0.544,-0.8788,-1.1338,-0.1828,,,
324,0.47,-0.8762,-1.1304,-0.1822,,,
325,0.492,-0.8736,-1.127,-0.1817,,,
326,0.463,-0.5491,0.1831,-0.0715,,,
327,0.509,-0.5491,0.1831,-0.0715,,,
328,0.517,-0.5474,0.1825,-0.0713,,,
329,0.47,-0.5458,0.182,-0.0711,,,
330,0.483,-0.5442,0.1815,-0.0708,,,
331,0.485,-0.5425,0.1809,-0.0706,,,
332,0.516,-0.5409,0.1804,-0.0704,,,
333,0.55,-0.5393,0.1798,-0.0702,,,
334,0.552,-0.5377,0.1793,-0.07,,,
335,0.548,-0.536,0.1787,-0.0698,,,
336,0.544,-0.5344,0.1782,-0.0696,,,
337,0.49,0.0543,0.3516,-0.227,,,
338,0.481,0.0541,0.3506,-0.2263,,,
339,0.469,0.054,0.3495,-0.2256,,,
340,0.507,0.0538,0.3485,-0.2249,,,
341,0.564,0.0536,0.3474,-0.2242,,,
342,0.52,0.0535,0.3464,-0.2236,,,
343,0.562,0.0533,0.3453,-0.2229,,,
344,0.503,0.0532,0.3443,-0.2222,,,
345,0.537,0.053,0.3433,-0.2216,,,
346,0.561,0.0528,0.3422,-0.2209,,,
347,0.549,0.0527,0.3412,-0.2202,,,
348,0.503,0.0525,0.3402,-0.2196,,,
349,0.526,0.0524,0.3392,-0.2189,,,
350,0.543,0.0522,0.3382,-0.2183,,,
351,0.502,0.0521,0.3371,-0.2176,,,
352,0.502,0.0519,0.3361,-0.217,,,
353,0.566,0.0517,0.3351,-0.2163,,,
354,0.517,0.0516,0.3341,-0.2157,,,
355,0.539,0.0514,0.3331,-0.215,,,
356,0.517,0.0513,0.3321,-0.2144,,,
357,0.569,0.0511,0.3311,-0.2137,,,
358,0.494,0.051,0.3301,-0.2131,,,
359,0.546,0.0508,0.3291,-0.2124,,,
360,0.547,0.0507,0.3281,-0.2118,,,
361,0.563,0.0505,0.3272,-0.2112,,,
362,0.569,0.0504,0.3262,-0.2105,,,
363,0.518,0.0502,0.3252,-0.2099,,,
364,0.567,0.0501,0.3242,-0.2093,,,
365,0.557,0.0499,0.3233,-0.2086,,,
366,0.496,0.0498,0.3223,-0.208,,,
367,0.569,0.0496,0.3213,-0.2074,,,
368,0.501,0.0495,0.3204,-0.2068,,,
369,0.571,0.0493,0.3194,-0.2062,,,
370,0.49,0.0492,0.3184,-0.2055,,,
371,0.57,0.049,0.3175,-0.2049,,,
372,0.487,0.1626,0.0847,1.9325,,,
373,0.569,0.1621,0.0844,1.9267,,,
374,0.488,0.1626,0.0847,1.9325,,,
375,0.505,0.2031,0.3014,2.1495,,,
376,0.509,0.2025,0.3005,2.143,,,
377,0.488,0.2019,0.2996,2.1366,,,
378,0.565,0.2013,0.2987,2.1302,,,
379,0.565,0.2007,0.2978,2.1238,,,
380,0.494,0.2001,0.2969,2.1174,,,
381,0.563,0.1995,0.296,2.1111,,,
382,0.582,0.1989,0.2951,2.1047,,,
383,0.58,0.1983,0.2942,2.0984,,,
384,0.516,0.1977,0.2933,2.0921,,,
385,0.517,0.1971,0.2925,2.0859,,,
386,0.572,0.1965,0.2916,2.0796,,,
387,0.575,0.1959,0.2907,2.0734,,,
388,0.557,0.1954,0.2898,2.0671,,,
389,0.591,0.1948,0.289,2.0609,,,
390,0.587,0.1942,0.2881,2.0548,,,
391,0.551,0.1936,0.2872,2.0486,,,
392,0.523,0.193,0.2864,2.0424,,,
393,0.565,2.6388,0.5517,-0.1512,,,
394,0.582,2.6388,0.5517,-0.1512,,,
395,0.576,2.6388,0.5517,-0.1512,,,
396,0.585,2.6388,0.5517,-0.1512,,,
397,0.53,2.6309,0.55,-0.1507,,,
398,0.499,2.623,0.5484,-0.1502,,,
399,0.588,2.6151,0.5467,-0.1498,,,
400,0.558,2.6073,0.5451,-0.1493,,,
401,0.6,2.5994,0.5434,-0.1489,,,
402,0.509,2.5916,0.5418,-0.1485,,,
403,0.539,2.5839,0.5402,-0.148,,,
404,0.562,2.5761,0.5386,-0.1476,,,
405,0.524,2.5684,0.5369,-0.1471,,,
406,0.562,2.5607,0.5353,-0.1467,,,
407,0.53,2.553,0.5337,-0.1462,,,
408,0.591,2.5453,0.5321,-0.1458,,,
409,0.58,2.5377,0.5305,-0.1454,,,
410,0.52,2.5301,0.5289,-0.1449,,,
411,0.581,2.5225,0.5273,-0.1445,,,
412,0.587,2.5149,0.5258,-0.1441,,,
413,0.557,2.5074,0.5242,-0.1436,,,
414,0.523,2.4999,0.5226,-0.1432,,,
415,0.572,1.6956,-0.1008,-0.5989,,,
416,0.584,1.6956,-0.1008,-0.5989,,,
417,0.537,1.6956,-0.1008,-0.5989,,,
418,0.59,-0.3423,-1.1487,-0.6963,,,
419,0.525,-0.3423,-1.1487,-0.6963,,,
420,0.557,-0.3412,-1.1453,-0.6942,,,
421,0.596,-0.3402,-1.1418,-0.6921,,,
422,0.548,-0.3392,-1.1384,-0.6901,,,
423,0.535,-0.3382,-1.135,-0.688,,,
424,0.568,-0.3372,-1.1316,-0.6859,,,
425,0.524,-0.3361,-1.1282,-0.6839,,,
426,0.562,-0.3351,-1.1248,-0.6818,,,
427,0.528,-0.3341,-1.1214,-0.6798,,,
428,0.537,-0.3331,-1.1181,-0.6777,,,
429,0.56,-0.3321,-1.1147,-0.6757,,,
430,0.606,-0.3311,-1.1114,-0.6737,,,
431,0.602,-0.3301,-1.108,-0.6717,,,
432,0.558,-0.3292,-1.1047,-0.6696,,,
433,0.556,-0.3282,-1.1014,-0.6676,,,
434,0.595,-0.3272,-1.0981,-0.6656,,,
435,0.6,-0.3262,-1.0948,-0.6636,,,
436,0.527,-0.3252,-1.0915,-0.6616,,,
437,0.593,-0.3242,-1.0882,-0.6597,,,
438,0.56,-0.3233,-1.085,-0.6577,,,
439,0.541,-0.3223,-1.0817,-0.6557,,,
440,0.54,-0.3213,-1.0785,-0.6537,,,
441,0.617,-0.3204,-1.0752,-0.6518,,,
442,0.528,-0.3194,-1.072,-0.6498,,,
443,0.613,-0.3185,-1.0688,-0.6479,,,
444,0.605,-0.3175,-1.0656,-0.6459,,,
445,0.601,-0.3165,-1.0624,-0.644,,,
446,0.596,-0.3156,-1.0592,-0.6421,,,
447,0.586,-0.3146,-1.056,-0.6401,,,
448,0.553,-0.3137,-1.0529,-0.6382,,,
449,0.615,-0.3128,-1.0497,-0.6363,,,
450,0.589,-0.3118,-1.0466,-0.6344,,,
451,0.608,0.1687,-0.885,-0.2828,,,
452,0.606,0.168,-0.8814,-0.2817,,,
453,0.622,0.1673,-0.8779,-0.2805,,,
454,0.589,0.1666,-0.8744,-0.2794,,,
455,0.62,0.166,-0.8709,-0.2783,,,
456,0.557,0.1653,-0.8674,-0.2772,,,
457,0.614,0.1646,-0.8639,-0.2761,,,
458,0.534,0.164,-0.8605,-0.275,,,
459,0.598,0.1633,-0.857,-0.2739,,,
460,0.546,0.1627,-0.8536,-0.2728,,,
461,0.558,0.162,-0.8502,-0.2717,,,
462,0.607,0.1614,-0.8468,-0.2706,,,
463,0.556,0.1607,-0.8434,-0.2695,,,
464,0.619,0.1601,-0.84,-0.2684,,,
465,0.545,0.1594,-0.8367,-0.2674,,,
466,0.569,0.1588,-0.8333,-0.2663,,,
467,0.548,0.1582,-0.83,-0.2652,,,
468,0.543,0.1575,-0.8267,-0.2642,,,
469,0.564,0.1569,-0.8234,-0.2631,,,
470,0.568,0.1563,-0.8201,-0.2621,,,
471,0.598,0.1557,-0.8168,-0.261,,,
472,0.596,0.155,-0.8135,-0.26,,,
473,0.621,0.1544,-0.8103,-0.2589,,,
474,0.627,0.1538,-0.807,-0.2579,,,
475,0.595,0.1532,-0.8038,-0.2569,,,
476,0.568,0.1526,-0.8006,-0.2558,,,
477,0.593,0.152,-0.7974,-0.2548,,,
478,0.567,0.1514,-0.7942,-0.2538,,,
479,0.577,0.1507,-0.791,-0.2528,,,
480,0.557,0.1501,-0.7879,-0.2518,,,
481,0.644,0.1495,-0.7847,-0.2508,,,
482,0.611,0.1489,-0.7816,-0.2498,,,
483,0.554,0.1484,-0.7784,-0.2488,,,
484,0.622,0.1478,-0.7753,-0.2478,,,
485,0.638,-0.3889,0.2241,-0.3602,,,
486,0.554,-0.3873,0.2232,-0.3588,,,
487,0.593,-0.3858,0.2223,-0.3574,,,
488,0.571,-0.3842,0.2214,-0.3559,,,
489,0.642,-0.3827,0.2205,-0.3545,,,
490,0.642,-0.3812,0.2196,-0.3531,,,
491,0.553,-0.3796,0.2187,-0.3517,,,
492,0.63,-0.3781,0.2179,-0.3503,,,
493,0.617,-0.3766,0.217,-0.3489,,,
494,0.623,-0.3751,0.2161,-0.3475,,,
495,0.562,-0.3736,0.2153,-0.3461,,,
496,0.602,-0.3721,0.2144,-0.3447,,,
497,0.609,-0.3706,0.2135,-0.3433,,,
498,0.564,-0.3691,0.2127,-0.3419,,,
499,0.61,-0.3677,0.2118,-0.3406,,,
500,0.607,-0.3662,0.211,-0.3392,,,
501,0.637,-0.3647,0.2101,-0.3379,,,
502,0.617,-0.3633,0.2093,-0.3365,,,
503,0.639,-0.3618,0.2085,-0.3352,,,
504,0.634,-0.3604,0.2076,-0.3338,,,
505,0.585,-0.3589,0.2068,-0.3325,,,
506,0.582,-0.3575,0.206,-0.3311,,,
507,0.609,-0.3561,0.2051,-0.3298,,,
508,0.618,-0.3546,0.2043,-0.3285,,,
509,0.623,-0.3532,0.2035,-0.3272,,,
510,0.654,-0.3518,0.2027,-0.3259,,,
511,0.579,-0.3504,0.2019,-0.3246,,,
512,0.653,-0.349,0.2011,-0.3233,,,
513,0.657,-0.3476,0.2003,-0.322,,,
514,0.651,-0.3462,0.1995,-0.3207,,,
515,0.635,-0.3448,0.1987,-0.3194,,,
516,0.581,-0.3435,0.1979,-0.3181,,,
517,0.621,-0.3421,0.1971,-0.3169,,,
518,0.613,-0.3407,0.1963,-0.3156,,,
519,0.57,-0.3393,0.1955,-0.3143,,,
520,0.613,-0.338,0.1947,-0.3131,,,
521,0.616,-0.3366,0.1939,-0.3118,,,
522,0.666,-0.3353,0.1932,-0.3106,,,
523,0.596,-0.3339,0.1924,-0.3093,,,
524,0.575,-0.6056,0.4043,0.7137,,,
525,0.615,-0.6056,0.4043,0.7137,,,
526,0.603,-0.6056,0.4043,0.7137,,,
527,0.624,0.1131,0.1858,1.5106,,,
528,0.581,0.1126,0.185,1.5045,,,
529,0.64,0.1122,0.1843,1.4985,,,
530,0.662,0.1117,0.1835,1.4925,,,
531,0.602,0.1113,0.1828,1.4866,,,
532,0.641,0.1109,0.1821,1.4806,,,
533,0.606,0.1104,0.1813,1.4747,,,
534,0.624,0.11,0.1806,1.4688,,,
535,0.622,0.1095,0.1799,1.4629,,,
536,0.632,0.1091,0.1792,1.4571,,,
537,0.633,0.1087,0.1785,1.4512,,,
